"LOINC_NUM","LONG_COMMON_NAME"
"60734-1","Total elicited items score [TIMP]"
"60735-8","Total score [TIMP]"
"60736-6","Reciprocal kicking [TIMP]"
"60738-2","Intraluminal [Pressure] Esophagus"
"60739-0","Expiration [Time] Respiratory system"
"60740-8","Inspiration [Time] Respiratory system"
"60741-6","Desflurane target [VFr/PPres] Airway adaptor --at end expiration"
"60744-0","Gas delivery system inspiratory Desflurane setting [VFr/PPres]"
"60746-5","Desflurane [VFr/PPres] Gas delivery system.expiratory limb --during expiration"
"60747-3","Desflurane [VFr/PPres] Gas delivery system.inspiratory limb --during inspiration"
"60748-1","Desflurane gas delivered during case [Volume] from Gas delivery system"
"6074-9","Chymopapain IgE Ab [Units/volume] in Serum"
"60749-9","Target enflurane [VFr/PPres] Airway adaptor --at end expiration"
"60752-3","Gas delivery system inspiratory Enflurane setting [VFr/PPres]"
"60754-9","Enflurane [VFr/PPres] Gas delivery system.expiratory limb --during expiration"
"60755-6","Enflurane gas delivered during case [Volume] from Gas delivery system"
"6075-6","Cladosporium herbarum IgE Ab [Units/volume] in Serum"
"60756-4","Target halothane [VFr/PPres] Airway adaptor --at end expiration"
"60759-8","Gas delivery system inspiratory Halothane setting [VFr/PPres]"
"60761-4","Halothane [VFr/PPres] Gas delivery system.expiratory limb --during expiration"
"60762-2","Halothane gas delivered during case [Volume] from Gas delivery system"
"60763-0","Target isoflurane [VFr/PPres] Airway adaptor --at end expiration"
"6076-4","Clam IgE Ab [Units/volume] in Serum"
"60766-3","Gas delivery system inspiratory Isoflurane setting [VFr/PPres]"
"60768-9","Isoflurane [VFr/PPres] Gas delivery system.expiratory limb --during expiration"
"60769-7","Isoflurane gas delivered during case [Volume] from Gas delivery system"
"6077-2","Cocklebur IgE Ab [Units/volume] in Serum"
"60773-9","Gas delivery system inspiratory Nitrous oxide setting [VFr/PPres]"
"60775-4","Nitrous oxide gas delivered during case [Volume] from Gas delivery system"
"60776-2","Target sevoflurane [VFr/PPres] Airway adaptor --at end expiration"
"60779-6","Gas delivery system inspiratory Sevoflurane setting [VFr/PPres]"
"6078-0","Cockroach IgE Ab [Units/volume] in Serum"
"60781-2","Sevoflurane [VFr/PPres] Gas delivery system"
"60782-0","Sevoflurane gas delivered during case [Volume] from Gas delivery system"
"60786-1","Gas delivery system inspiratory Carbon dioxide setting [VFr/PPres]"
"60789-5","Carbon dioxide gas delivered during case [Volume] from Gas delivery system"
"60790-3","Carbon dioxide gas delivered.total [Volume] in Reporting period from Gas delivery system"
"60791-1","Gas flow Respiratory system airway --on ventilator"
"60792-9","Expiratory gas flow Respiratory system airway --on ventilator"
"60793-7","Maximum expiratory gas flow Respiratory system airway --on ventilator"
"60794-5","Inspiratory gas flow Respiratory system airway --on ventilator"
"60795-2","Inspiratory gas flow.max Respiratory system airway --on ventilator"
"60796-0","Target oxygen [VFr/PPres] Airway adaptor --at end expiration"
"6079-8","Deprecated Cockroach IgE Ab [Units/volume] in Serum"
"60799-4","Gas delivery system inspiratory Oxygen setting [VFr/PPres]"
"608-0","Bacteria identified in Ear by Aerobe culture"
"60801-8","Trapped lung volume --at end expiration"
"60802-6","Dynamic plateau pressure"
"60804-2","Minimum alveolar concentration (MAC) for anesthesia.XXX Anesthetic agent.XXX"
"60805-9","Desflurane [VFr/PPres] Airway adaptor --during inspiration"
"6080-6","Cocoa IgE Ab [Units/volume] in Serum"
"60807-5","Sevoflurane [VFr/PPres] Airway adaptor --during expiration"
"60808-3","Carbon dioxide [VFr/PPres] in Airway adaptor --at end expiration"
"60809-1","Carbon dioxide [VFr/PPres] in Airway adaptor --during expiration"
"60812-5","Helium [VFr/PPres] Airway adaptor --at end expiration"
"60813-3","Helium [VFr/PPres] Airway adaptor --during expiration"
"6081-4","Coconut IgE Ab [Units/volume] in Serum"
"60815-8","Minimum alveolar concentration (MAC) sum Anesthetic agent.XXX+Nitrous oxide"
"60816-6","Minimum alveolar concentration (MAC) sum corrected for age Anesthetic agent.XXX+Nitrous oxide"
"60817-4","Gastric-arterial pCO2 gap"
"60818-2","Gastric-end tidal pCO2 gap"
"60819-0","Gastric mucosal pCO2"
"60821-6","Apnea duration"
"6082-2","Codfish IgE Ab [Units/volume] in Serum"
"60822-4","Estimated pulmonary Shunt fraction"
"60823-2","Oxygen consumption (VO2)/Body surface area [Volume Rate/Area]"
"60824-0","Oxygen delivery (VO2)/Body surface area [Volume Rate/Area]"
"60825-7","Carbon dioxide production (VCO2) in Respiratory system"
"60826-5","Lung compliance"
"60827-3","Dynamic lung compliance"
"60828-1","Compliance.static Lung"
"60829-9","Pressure.plateau Respiratory system airway"
"6083-0","Coffee IgE Ab [Units/volume] in Serum"
"60830-7","Finger temperature"
"60832-3","Room temperature"
"60833-1","Toe temperature"
"60834-9","Blood temperature"
"60835-6","Arterial blood temperature"
"60836-4","Esophageal temperature"
"60837-2","Injectate temperature"
"60838-0","Nasopharyngeal temperature"
"60839-8","Skin temperature --in microenvironment"
"60840-6","Base excess in Extracellular fluid by calculation"
"60841-4","Oxygen content in Venous blood by calculation"
"60842-2","Oxygen consumption (VO2)"
"60843-0","Mean dominant power frequency on EEG"
"60844-8","Median power frequency on EEG"
"60845-5","Peak power frequency on EEG"
"60846-3","Burst count Cerebral cortex Electroencephalogram (EEG)"
"60847-1","Seizure count Cerebral cortex Electroencephalogram (EEG)"
"6084-8","Colza IgE Ab [Units/volume] in Serum"
"60848-9","Alpha frequency relative power on EEG"
"60849-7","Beta frequency relative power on EEG"
"60850-5","Delta frequency relative power on EEG"
"60851-3","Theta frequency relative power on EEG"
"60852-1","Electrical potential Muscle on EMG"
"60853-9","Desflurane [VFr/PPres] Gas delivery system"
"60854-7","Enflurane [VFr/PPres] Gas delivery system"
"6085-5","Common Ragweed IgE Ab [Units/volume] in Serum"
"60855-4","Enflurane [VFr/PPres] Gas delivery system.inspiratory limb --during inspiration"
"60856-2","Halothane [VFr/PPres] Gas delivery system"
"60857-0","Halothane [VFr/PPres] Gas delivery system.inspiratory limb --during inspiration"
"60858-8","Isoflurane [VFr/PPres] Gas delivery system"
"60859-6","Isoflurane [VFr/PPres] Gas delivery system.inspiratory limb --during inspiration"
"60860-4","Nitrous oxide [VFr/PPres] Gas delivery system"
"60861-2","Nitrous oxide [VFr/PPres] Gas delivery system.expiratory limb --during expiration"
"60862-0","Nitrous oxide [VFr/PPres] Gas delivery system.inspiratory limb --during inspiration"
"6086-3","Deprecated Ragweed Common IgE Ab [Units/volume] in Serum"
"60863-8","Sevoflurane [VFr/PPres] Airway adaptor"
"60864-6","Sevoflurane [VFr/PPres] Gas delivery system.inspiratory limb --during inspiration"
"60866-1","Oxygen [VFr/PPres] Airway adaptor"
"60867-9","Oxygen [VFr/PPres] Airway adaptor --during expiration"
"60868-7","Oxygen/Gas total Gas delivery system --during inspiration"
"60869-5","Physiological dead space [Volume] Respiratory system --on ventilator"
"60870-3","Physiological dead space/Tidal volume Respiratory system --on ventilator"
"6087-1","Corn IgE Ab [Units/volume] in Serum"
"60873-7","Anesthetic agent.XXX Airway adaptor --at end expiration"
"60874-5","Anesthetic agent.XXX Airway adaptor --during inspiration"
"60876-0","Desflurane [VFr/PPres] Airway adaptor"
"60877-8","Desflurane [VFr/PPres] Airway adaptor --at end expiration"
"60884-4","Enflurane [VFr/PPres] Airway adaptor --at end expiration"
"60885-1","Enflurane [VFr/PPres] Airway adaptor --during inspiration"
"6088-9","Cultivated Cotton IgE Ab [Units/volume] in Serum"
"60889-3","Halothane [VFr/PPres] Airway adaptor --at end expiration"
"60895-0","Isoflurane [VFr/PPres] Airway adaptor --at end expiration"
"6089-7","Cottonseed IgE Ab [Units/volume] in Serum"
"60901-6","Nitrous oxide [VFr/PPres] Airway adaptor --at end expiration"
"6090-5","Cottonwood IgE Ab [Units/volume] in Serum"
"60907-3","Sevoflurane [VFr/PPres] Airway adaptor --during inspiration"
"60908-1","Sevoflurane [VFr/PPres] Airway adaptor --at end expiration"
"6091-3","Cow dander IgE Ab [Units/volume] in Serum"
"60914-9","Argon [VFr/PPres] Airway adaptor"
"60915-6","Argon [VFr/PPres] Airway adaptor --during expiration"
"60916-4","Argon [VFr/PPres] Airway adaptor --during inspiration"
"60918-0","Argon [VFr/PPres] Airway adaptor --at end expiration"
"60919-8","Nitrogen [VFr/PPres] Airway adaptor"
"60920-6","Nitrogen [VFr/PPres] Airway adaptor --at end expiration"
"6092-1","Crab IgE Ab [Units/volume] in Serum"
"60921-4","Nitrogen [VFr/PPres] Airway adaptor --during inspiration"
"60924-8","Carbon dioxide [VFr/PPres] in Airway adaptor --during inspiration"
"60926-3","Carbon dioxide [VFr/PPres] in Airway adaptor"
"60932-1","Helium [VFr/PPres] Airway adaptor"
"60934-7","Helium [VFr/PPres] Airway adaptor --during inspiration"
"60935-4","Nitrogen [VFr/PPres] Airway adaptor --during expiration"
"6093-9","Oat pollen IgE Ab [Units/volume] in Serum"
"60939-6","Nitrous oxide [VFr/PPres] Airway adaptor --during expiration"
"60943-8","Oxygen [VFr/PPres] Airway adaptor --at end expiration"
"6094-7","Curvularia lunata IgE Ab [Units/volume] in Serum"
"60947-9","Deprecated Peak expiratory flow Airway"
"60948-7","Peak inspiratory flow Respiratory system airway"
"60949-5","Mean airway pressure"
"60951-1","Pressure max Respiratory system airway --during inspiration"
"60952-9","Mean airway pressure --during inspiration"
"6095-4","American house dust mite IgE Ab [Units/volume] in Serum"
"60955-2","Airway temperature"
"60956-0","Intracranial pressure (ICP)"
"60957-8","Intracranial pressure (ICP) Diastolic"
"60958-6","Intracranial pressure (ICP) Mean"
"60959-4","Intracranial pressure (ICP) Systolic"
"60960-2","ST amplitude.lead AI"
"60961-0","ST amplitude.lead AS"
"6096-2","European house dust mite IgE Ab [Units/volume] in Serum"
"60962-8","ST amplitude.derived lead V1"
"60963-6","ST amplitude.derived lead V2"
"60964-4","ST amplitude.derived lead V3"
"60965-1","ST amplitude.derived lead V4"
"60966-9","ST amplitude.derived lead V5"
"60967-7","ST amplitude.derived lead V6"
"60968-5","ST amplitude.lead ES"
"60969-3","ST amplitude.lead MCL"
"6097-0","Dandelion IgE Ab [Units/volume] in Serum"
"60970-1","ST amplitude.lead MCL1"
"60971-9","ST amplitude.lead MCL6"
"60972-7","ST amplitude.precordial lead"
"60973-5","Left ventricular Pre ejection Time"
"60974-3","Left ventricular Ejection Time"
"60975-0","Vascular resistance"
"60976-8","Right ventricular Work [Energy]"
"60977-6","Left ventricular Work [Energy]"
"60978-4","Heart rate Intra arterial line by Invasive"
"609-8","Bacteria identified in Eye by Aerobe culture"
"60981-8","Aorta blood pressure"
"60982-6","Aorta Diastolic blood pressure"
"60983-4","Aorta Mean blood pressure"
"60984-2","Aorta Systolic blood pressure"
"60985-9","Central venous pressure (CVP)"
"60986-7","Central venous pressure (CVP) Diastolic"
"60987-5","Central venous pressure (CVP) Systolic"
"6098-8","Dog dander IgE Ab [Units/volume] in Serum"
"60988-3","Left atrial pressure"
"60989-1","Left atrial pressure Systolic"
"60994-1","Pulmonary artery wedge Diastolic blood pressure"
"60995-8","Pulmonary artery wedge Systolic blood pressure"
"6099-6","Dog epithelium IgE Ab [Units/volume] in Serum"
"60996-6","Right atrial pressure"
"60997-4","Right atrial pressure Diastolic"
"60998-2","Right atrial pressure Systolic"
"6100-2","Duck feather IgE Ab [Units/volume] in Serum"
"61002-2","Umbilical artery blood pressure"
"61003-0","Umbilical vein Diastolic blood pressure"
"61004-8","Umbilical vein Mean blood pressure"
"61005-5","Umbilical vein Systolic blood pressure"
"61006-3","Perfusion index Tissue by Pulse oximetry"
"61007-1","Oxygen arterial - venous [Volume Fraction Difference] in Blood arterial + Blood venous by Estimated"
"61008-9","Body surface temperature"
"61009-7","Myocardial temperature"
"6101-0","Duck meat IgE Ab [Units/volume] in Serum"
"61010-5","Burst suppression ratio [Ratio] Cerebral cortex Electroencephalogram (EEG)"
"61011-3","Umbilical vein blood pressure"
"61012-1","Breath rate Capillary blood"
"61014-7","Left ventricular Cardiac output by Intermitent measure"
"61017-0","Cerebral perfusion pressure"
"61018-8","Oxygen [VFr/PPres] Gas delivery system"
"61019-6","Enflurane [VFr/PPres] Airway adaptor --during expiration"
"61020-4","Halothane [VFr/PPres] Airway adaptor --during expiration"
"61021-2","Halothane [VFr/PPres] Airway adaptor --during inspiration"
"61022-0","Desflurane gas delivered.total [Volume] in Reporting period from Gas delivery system"
"61023-8","Enflurane gas delivered.total [Volume] in Reporting period from Gas delivery system"
"61024-6","Halothane gas delivered.total [Volume] in Reporting period from Gas delivery system"
"61025-3","Isoflurane gas delivered.total [Volume] in Reporting period from Gas delivery system"
"61026-1","Nitrous oxide gas delivered.total [Volume] in Reporting period from Gas delivery system"
"61027-9","Sevoflurane gas delivered.total [Volume] in Reporting period from Gas delivery system"
"6102-8","Deprecated Dust profile Ab.IgE"
"61028-7","Pressure.min Respiratory system airway"
"61029-5","7-Aminoclonazepam [Presence] in Serum or Plasma"
"61030-3","7-Aminoclonazepam [Presence] in Urine"
"61031-1","7-Aminoclonazepam [Presence] in Specimen"
"61032-9","7-Aminoflunitrazepam [Presence] in Serum or Plasma"
"61033-7","7-Aminoflunitrazepam [Presence] in Urine"
"61034-5","7-Aminoflunitrazepam [Presence] in Specimen"
"61035-2","Alpha hydroxyalprazolam [Presence] in Serum or Plasma"
"6103-6","Echinococcus sp IgE Ab [Units/volume] in Serum"
"61036-0","Alpha hydroxyalprazolam [Presence] in Urine"
"61037-8","Alpha hydroxyalprazolam [Presence] in Specimen"
"61038-6","ALPRAZolam [Presence] in Specimen"
"61039-4","clonazePAM [Presence] in Specimen"
"61040-2","N-desalkylflurazepam [Presence] in Urine"
"61041-0","N-desalkylflurazepam [Presence] in Specimen"
"61042-8","fentaNYL [Presence] in Specimen"
"61043-6","Ketamine [Presence] in Specimen"
"6104-4","Deprecated Echinococcus sp IgE Ab [Units/volume] in Serum"
"61044-4","LORazepam [Presence] in Specimen"
"61045-1","Methylenedioxyamphetamine [Presence] in Serum or Plasma"
"61046-9","Methylenedioxyamphetamine [Presence] in Specimen"
"61047-7","Methylenedioxyethylamphetamine [Presence] in Serum or Plasma"
"61048-5","Methylenedioxyethylamphetamine [Presence] in Urine"
"61049-3","Methylenedioxyethylamphetamine [Presence] in Specimen"
"61050-1","Methylphenidate [Presence] in Specimen"
"6105-1","Eel IgE Ab [Units/volume] in Serum"
"61051-9","Nordiazepam [Presence] in Specimen"
"61052-7","Norfentanyl [Presence] in Serum or Plasma"
"61053-5","Norfentanyl [Presence] in Specimen"
"61054-3","Normeperidine [Presence] in Specimen"
"61055-0","Oxazepam [Presence] in Specimen"
"61056-8","Pseudoephedrine [Presence] in Serum or Plasma"
"61057-6","Pseudoephedrine [Presence] in Specimen"
"61058-4","Alpha-Phenyl-2-Piperidine acetate [Presence] in Urine"
"61059-2","Alpha-Phenyl-2-Piperidine acetate [Presence] in Specimen"
"610-6","Bacteria identified in Body fluid by Aerobe culture"
"61060-0","Temazepam [Presence] in Urine"
"61061-8","Temazepam [Presence] in Specimen"
"61062-6","Carboxy tetrahydrocannabinol [Presence] in Gastric fluid"
"61063-4","Carboxy tetrahydrocannabinol [Presence] in Specimen"
"61064-2","Triazolam [Presence] in Serum or Plasma"
"61065-9","Lysergate diethylamide [Presence] in Specimen"
"61066-7","Ethanol [Presence] in Specimen by Screen method"
"61067-5","Barbiturates [Presence] in Specimen by Screen method"
"6106-9","Egg white IgE Ab [Units/volume] in Serum"
"61070-9","7-Aminoclonazepam [Presence] in Gastric fluid"
"61071-7","7-Aminoflunitrazepam [Presence] in Gastric fluid"
"61072-5","Alpha hydroxyalprazolam [Presence] in Gastric fluid"
"61073-3","ALPRAZolam [Presence] in Gastric fluid"
"61074-1","diazePAM [Presence] in Specimen"
"61075-8","diphenhydrAMINE [Presence] in Gastric fluid"
"61076-6","2-Ethylidene-1,5-Dimethyl-3,3-Diphenylpyrrolidine (EDDP) [Presence] in Gastric fluid"
"6107-7","Egg yolk IgE Ab [Units/volume] in Serum"
"61077-4","fentaNYL [Presence] in Gastric fluid"
"61078-2","Flunitrazepam [Presence] in Gastric fluid"
"61079-0","Flunitrazepam [Presence] in Specimen"
"61080-8","Flurazepam [Presence] in Specimen"
"61081-6","Ketamine [Presence] in Gastric fluid"
"61082-4","Methylenedioxyethylamphetamine [Presence] in Gastric fluid"
"61083-2","Methylenedioxymethamphetamine [Presence] in Gastric fluid"
"61084-0","Methylphenidate [Presence] in Gastric fluid"
"6108-5","Elder IgE Ab [Units/volume] in Serum"
"61085-7","Nordiazepam [Presence] in Gastric fluid"
"61086-5","Norfentanyl [Presence] in Gastric fluid"
"61087-3","Normeperidine [Presence] in Gastric fluid"
"61088-1","Oxazepam [Presence] in Gastric fluid"
"61089-9","Pseudoephedrine [Presence] in Gastric fluid"
"61090-7","Alpha-Phenyl-2-Piperidine acetate [Presence] in Gastric fluid"
"61091-5","Temazepam [Presence] in Gastric fluid"
"61092-3","Triazolam [Presence] in Gastric fluid"
"6109-3","White Elm IgE Ab [Units/volume] in Serum"
"61093-1","Triazolam [Presence] in Specimen"
"61094-9","Lysergate diethylamide [Presence] in Gastric fluid"
"61095-6","Ethanol [Presence] in Gastric fluid by Screen method"
"61096-4","Barbiturates [Presence] in Gastric fluid by Screen method"
"61098-0","N-desalkylflurazepam [Presence] in Gastric fluid"
"61099-8","Collection date of Stool--3rd specimen"
"61100-4","Collection date of Stool--2nd specimen"
"6110-1","English plantain IgE Ab [Units/volume] in Serum"
"61101-2","Influenza virus A neuraminidase RNA [Type] in Specimen by Sequencing"
"61102-0","Influenza virus A and B Ag [Identifier] in Specimen by Immunofluorescence"
"61103-8","Prochlorperazine [Moles/volume] in Urine"
"61104-6","Prochlorperazine [Moles/volume] in Specimen"
"61105-3","Prochlorperazine [Moles/volume] in Gastric fluid"
"61106-1","16p11.2 chromosome region deletion and duplication mutation analysis [Identifier] in Blood or Tissue by Molecular genetics method Nominal"
"61107-9","SLC25A13 gene targeted mutation analysis in Blood or Tissue by Molecular genetics method"
"61108-7","Mitochondria DNA complex I targeted mutation analysis in Blood or Tissue by Molecular genetics method"
"61109-5","Mitochondria DNA complex V targeted mutation analysis in Blood or Tissue by Molecular genetics method"
"61110-3","ACSL4 gene targeted mutation analysis in Blood or Tissue by Molecular genetics method"
"61111-1","Mitochondria tRNA targeted mutation analysis in Blood or Tissue by Molecular genetics method"
"61112-9","HTLV [Type] in Serum or Plasma"
"61113-7","Immunoglobulin gene rearrangements in Blood or Tissue by Molecular genetics method Narrative"
"61114-5","Mitochondria DNA complex III targeted mutation analysis in Blood or Tissue by Molecular genetics method"
"61115-2","Mitochondria DNA complex IV targeted mutation analysis in Blood or Tissue by Molecular genetics method"
"61116-0","Mitochondria rRNA targeted mutation analysis in Blood or Tissue by Molecular genetics method"
"61117-8","Aquaporin 4 water channel IgG Ab [Presence] in Serum or Plasma by Immune stain"
"61118-6","Lymphocytes.cytoplasmic IgG/Lymphocytes in Body fluid"
"6111-9","Epicoccum purpurascens IgE Ab [Units/volume] in Serum"
"61119-4","Lymphocytes.cytoplasmic IgM/Lymphocytes in Body fluid"
"61120-2","PM-SCL-100 IgG Ab [Units/volume] in Serum"
"61121-0","CD8-CD57+ cells/cells in Blood"
"61122-8","CD8-CD57+ cells [#/volume] in Blood"
"61123-6","Lymphocytes/Leukocytes in Specimen by Flow cytometry (FC)"
"61124-4","Granulocytes/Leukocytes in Specimen by Flow cytometry (FC)"
"61125-1","Monocytes/Leukocytes in Specimen by Flow cytometry (FC)"
"61126-9","Blasts/cells in Specimen by Flow cytometry (FC)"
"6112-7","Ethylene oxide IgE Ab [Units/volume] in Serum"
"61127-7","Whitefish IgG Ab [Mass/volume] in Serum"
"61128-5","Cotinine [Presence] in Serum or Plasma"
"61129-3","PhenX domain - Demographics"
"61130-1","PhenX domain - Anthropometrics"
"61131-9","Preterm time"
"61132-7","Gestation adjusted age"
"61133-5","Clinical impression [TIMP]"
"61134-3","Environment [TIMP]"
"6113-5","Gum-Tree IgE Ab [Units/volume] in Serum"
"61135-0","Environment.other specified [TIMP]"
"61136-8","Start time Study"
"61137-6","End time Study"
"61138-4","Principal result interpreter Study"
"61139-2","Isocyanate TDI IgG Ab [Mass/volume] in Serum"
"611-4","Bacteria identified in Body fluid by Culture"
"61140-0","Isocyanate MDI IgG Ab [Mass/volume] in Serum"
"61141-8","Isocyanate HDI IgG Ab [Mass/volume] in Serum"
"61142-6","Trimellitic anhydride (TMA) IgG Ab [Mass/volume] in Serum"
"6114-3","Euroglyphus maynei IgE Ab [Units/volume] in Serum"
"61143-4","Nurse Summary note"
"61144-2","Diet and nutrition Narrative"
"61145-9","Deprecated Patient plan of care Document"
"61146-7","Goals Narrative"
"61147-5","Expected outcomes Narrative"
"61148-3","Fluid management note"
"61149-1","Objective Narrative"
"6115-0","False ragweed IgE Ab [Units/volume] in Serum"
"61150-9","Subjective Narrative"
"61151-7","Albumin [Mass/volume] in Serum or Plasma by Bromocresol green (BCG) dye binding method"
"61152-5","Albumin [Mass/volume] in Serum or Plasma by Bromocresol purple (BCP) dye binding method"
"61153-3","Glucose [Mass/volume] in Peritoneal dialysis fluid --baseline"
"61154-1","Hepatitis B virus codon L180M [Presence] by Genotype method"
"61155-8","Hepatitis B virus codon L80V [Presence] by Genotype method"
"61156-6","Hepatitis B virus codon V173L [Presence] by Genotype method"
"61157-4","Hepatitis B virus codon M204V [Presence] by Genotype method"
"61158-2","Hepatitis B virus codon M204I [Presence] by Genotype method"
"61159-0","Hepatitis B virus codon M204S [Presence] by Genotype method"
"61160-8","Hepatitis B virus codon A181V [Presence] by Genotype method"
"61161-6","Hepatitis B virus codon A181T [Presence] by Genotype method"
"61162-4","Hepatitis B virus codon N236T [Presence] by Genotype method"
"61163-2","Hepatitis B virus codon A194T [Presence] by Genotype method"
"61164-0","Hepatitis B virus codon T184S [Presence] by Genotype method"
"61165-7","Hepatitis B virus codon T184I [Presence] by Genotype method"
"61166-5","Hepatitis B virus codon S202G [Presence] by Genotype method"
"61167-3","Hepatitis B virus codon S202C [Presence] by Genotype method"
"6116-8","Ficus sp IgE Ab [Units/volume] in Serum"
"61168-1","Hepatitis B virus codon S202I [Presence] by Genotype method"
"61169-9","Hepatitis B virus codon I233V [Presence] by Genotype method"
"61170-7","Hepatitis B virus codon M250V [Presence] by Genotype method"
"61171-5","Hepatitis B virus codon M250I [Presence] by Genotype method"
"61172-3","Hepatitis B virus codon M250L [Presence] by Genotype method"
"61173-1","Hepatitis B virus codon L80I [Presence] by Genotype method"
"61174-9","17-Hydroxyprogesterone [Moles/volume] in Serum or Plasma --20 minutes pre XXX challenge"
"61175-6","Polychlorinated biphenyl.Aroclor 1242 [Mass/volume] in Serum or Plasma"
"6117-6","Red Imported Fire Ant IgE Ab [Units/volume] in Serum"
"61176-4","Polychlorinated biphenyl.Aroclor 1248 [Mass/volume] in Serum or Plasma"
"61177-2","Paraneoplastic Ab [Presence] in Serum by Immunofluorescence"
"61178-0","CD79 cells/cells in Specimen"
"61179-8","Leukocyte morphology finding [Identifier] in Blood from Fetus"
"61180-6","Hemoglobin [Mass/volume] in Blood from Fetus"
"61181-4","Cells Counted Total [#] in Blood from Fetus"
"61182-2","Leukocytes [#/volume] corrected for nucleated erythrocytes in Blood from Fetus"
"61183-0","Myeloperoxidase cells/cells in Blood"
"6118-4","Firebush IgE Ab [Units/volume] in Serum"
"61184-8","Spermatozoa broken tail/Spermatozoa in Semen"
"61185-5","Spermatozoa thick midpiece/Spermatozoa in Semen"
"61186-3","Spermatozoa thin midpiece/Spermatozoa in Semen"
"61187-1","Spermatozoa bent midpiece/Spermatozoa in Semen"
"61188-9","Clindamycin.induced [Susceptibility]"
"61189-7","INR in Platelet poor plasma from Fetus by Coagulation assay"
"61190-5","Prothrombin time (PT) in Platelet poor plasma from Fetus by Coagulation assay"
"61191-3","aPTT in Platelet poor plasma from Fetus by Coagulation assay"
"6119-2","Formaldehyde IgE Ab [Units/volume] in Serum"
"61192-1","Color of Pleural fluid from Fetus"
"61193-9","Clarity of Pleural fluid from Fetus"
"61194-7","Cells Counted Total [#] in Pleural fluid from Fetus"
"61195-4","Albumin [Mass/volume] in Serum or Plasma from Fetus"
"61196-2","Albumin [Mass/volume] in Urine from Fetus"
"61197-0","oxyCODONE+oxyMORphone [Presence] in Urine by Confirmatory method"
"61198-8","Raltegravir [Susceptibility] by Phenotype method"
"61199-6","HIV 1 integrase gene mutations detected [Identifier]"
"61-2","Carbenicillin [Susceptibility] by Disk diffusion (KB)"
"6120-0","Fusarium culmorum IgE Ab [Units/volume] in Serum"
"61200-2","Colorado tick fever virus IgG Ab [Titer] in Serum by Immunofluorescence"
"61201-0","Mold Allergen Mix 1 (Alternaria alternata+Aspergillus fumigatus+Cladosporium herbarum+Penicillium notatum) IgE Ab/IgE total in Serum by Multidisk"
"61202-8","Weed Allergen Mix 1 (Common ragweed+Mugwort+Goosefoot or Lambs quarters+English plantain+Saltwort) IgE Ab/IgE total in Serum by Multidisk"
"61203-6","Epidermal Allergen Mix 71 (Chicken feather+Duck feather+Goose feather+Turkey feather) IgE Ab/IgE total in Serum by Multidisk"
"61204-4","Grass Allergen Mix 2 (Bermuda grass+Perennial rye grass+Timothy+Kentucky blue grass+Johnson grass+Bahia grass) IgE Ab/IgE total in Serum by Multidisk"
"61205-1","Coastal Maple IgE Ab/IgE total in Serum"
"61206-9","Boxelder IgE Ab/IgE total in Serum"
"61207-7","Acremonium sp IgE Ab/IgE total in Serum"
"61208-5","Aedes mosquito IgE Ab/IgE total in Serum"
"61209-3","Mushroom IgE Ab/IgE total in Serum"
"61210-1","Onion IgE Ab/IgE total in Serum"
"61211-9","Garlic IgE Ab/IgE total in Serum"
"61212-7","Grey Alder IgE Ab/IgE total in Serum"
"61213-5","Lactalbumin alpha IgE Ab/IgE total in Serum"
"61214-3","Common Ragweed IgE Ab/IgE total in Serum"
"61215-0","Giant Ragweed IgE Ab/IgE total in Serum"
"61216-8","Pineapple IgE Ab/IgE total in Serum"
"61217-6","Sweet Vernal grass IgE Ab/IgE total in Serum"
"6121-8","Fusarium moniliforme IgE Ab [Units/volume] in Serum"
"61218-4","Celery IgE Ab/IgE total in Serum"
"61219-2","Peanut IgE Ab/IgE total in Serum"
"612-2","Bacterial strain [Type] in Isolate by Bacteria subtyping"
"61220-0","Ascaris sp IgE Ab/IgE total in Serum"
"61221-8","Aspergillus niger IgE Ab/IgE total in Serum"
"61222-6","Aspergillus sp IgE Ab/IgE total in Serum"
"61223-4","Crawfish IgE Ab/IgE total in Serum"
"61224-2","Lenscale IgE Ab/IgE total in Serum"
"61225-9","Aureobasidium pullulans IgE Ab/IgE total in Serum"
"6122-6","Garlic IgE Ab [Units/volume] in Serum"
"61226-7","Oat IgE Ab/IgE total in Serum"
"61227-5","White Birch IgE Ab/IgE total in Serum"
"61228-3","Silver Birch IgE Ab/IgE total in Serum"
"61229-1","Silver Birch recombinant (rBet v) 1 IgE Ab/IgE total in Serum"
"61230-9","Cockroach IgE Ab/IgE total in Serum"
"61231-7","Botrytis cinerea IgE Ab/IgE total in Serum"
"61232-5","Cauliflower IgE Ab/IgE total in Serum"
"61233-3","Cabbage IgE Ab/IgE total in Serum"
"6123-4","Geranium IgE Ab [Units/volume] in Serum"
"61234-1","Broccoli IgE Ab/IgE total in Serum"
"61235-8","Brome IgE Ab/IgE total in Serum"
"61236-6","Budgerigar droppings IgE Ab/IgE total in Serum"
"61237-4","Budgerigar feather IgE Ab/IgE total in Serum"
"61238-2","Candida albicans IgE Ab/IgE total in Serum"
"61239-0","Paprika IgE Ab/IgE total in Serum"
"61240-8","Pecan or Hickory Tree IgE Ab/IgE total in Serum"
